,department,department_name,division,gender,base_salary,overtime_pay,longevity_pay,pay_grade
0,ABS,Alcohol Beverage Services,Wholesale Administration,F,78902.00,199.17,0.00,18
1,ABS,Alcohol Beverage Services,Administrative Services,F,35926.00,0.00,4038.91,16
2,ABS,Alcohol Beverage Services,Administration,M,167345.00,0.00,0.00,M2
3,ABS,Alcohol Beverage Services,Wholesale Operations,F,90848.00,0.00,5717.68,21
4,ABS,Alcohol Beverage Services,Administration,F,78902.00,205.16,2460.24,18
5,ABS,Alcohol Beverage Services,Marketing,F,109761.00,0.00,0.00,25
6,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575.00,6605.54,0.00,15
7,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,50604.28,804.88,0.00,10
8,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50865.50,4140.43,0.00,10
9,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49359.65,4084.43,0.00,10
10,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848.00,0.00,0.00,21
11,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,63424.48,0.00,0.00,15
12,ABS,Alcohol Beverage Services,Potomac,M,80050.85,193.32,0.00,21
13,ABS,Alcohol Beverage Services,Burtonsville,M,43827.02,0.00,0.00,12
14,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,75290.00,15146.04,0.00,17
15,ABS,Alcohol Beverage Services,Wheaton,M,65464.00,622.26,4140.72,14
16,ABS,Alcohol Beverage Services,Cloverly,M,90848.00,0.00,0.00,21
17,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407.00,4223.06,1570.07,10
18,ABS,Alcohol Beverage Services,Westwood,M,77336.55,1519.70,0.00,21
19,ABS,Alcohol Beverage Services,Cabin John,M,90848.00,0.00,0.00,21
20,ABS,Alcohol Beverage Services,Kensington,M,83028.74,702.38,0.00,21
21,ABS,Alcohol Beverage Services,Retail Administration,M,59660.00,547.76,3773.52,12
22,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488.00,119.54,0.00,13
23,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49596.86,1983.49,0.00,10
24,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,51706.08,3786.01,0.00,12
25,ABS,Alcohol Beverage Services,Walnut Hill,M,72769.06,294.60,0.00,18
26,ABS,Alcohol Beverage Services,Leisure World,F,61265.18,29.61,0.00,18
27,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47687.17,2709.69,0.00,10
28,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,2165.37,0.00,12
29,ABS,Alcohol Beverage Services,Beer Loading,M,51706.08,5785.54,0.00,12
30,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90848.00,4225.84,0.00,21
31,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,54407.00,984.33,3440.60,10
32,ABS,Alcohol Beverage Services,Burtonsville,F,78902.00,1757.16,0.00,18
33,ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,59660.00,3720.41,1859.76,12
34,ABS,Alcohol Beverage Services,Customer Service,M,64045.95,277.20,0.00,18
35,ABS,Alcohol Beverage Services,Poolesville,M,65464.00,2591.02,0.00,14
36,ABS,Alcohol Beverage Services,Wholesale Operations,M,90848.00,0.00,5717.68,21
37,ABS,Alcohol Beverage Services,Olney,M,84046.57,0.00,0.00,21
38,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47688.64,3137.38,0.00,10
39,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488.00,1143.69,3952.82,13
40,ABS,Alcohol Beverage Services,Burtonsville,M,87219.23,0.00,0.00,21
41,ABS,Alcohol Beverage Services,Montrose,M,65464.00,17.54,2041.09,14
42,ABS,Alcohol Beverage Services,Poolesville,M,67415.85,1282.58,0.00,21
43,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65128.71,22623.21,0.00,18
44,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,78902.00,25958.06,0.00,18
45,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,167345.00,0.00,0.00,M2
46,ABS,Alcohol Beverage Services,Retail Administration,M,103430.45,0.00,0.00,25
47,ABS,Alcohol Beverage Services,Montrose,M,65464.00,417.89,2041.23,14
48,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,66297.80,952.11,0.00,15
49,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,109761.00,0.00,2280.96,25
50,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47688.64,6206.26,0.00,10
51,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660.00,4453.35,3773.56,12
52,ABS,Alcohol Beverage Services,Wholesale Operations,M,90848.00,0.00,5717.68,21
53,ABS,Alcohol Beverage Services,Downtown Rockville,F,70310.40,159.23,0.00,18
54,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,78902.00,7433.82,2095.78,18
55,ABS,Alcohol Beverage Services,Downtown Rockville,M,45360.97,751.91,0.00,12
56,ABS,Alcohol Beverage Services,Kingsview,F,64552.96,842.74,0.00,14
57,ABS,Alcohol Beverage Services,Burtonsville,M,38190.58,78.89,0.00,12
58,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902.00,3027.65,1639.44,18
59,ABS,Alcohol Beverage Services,Customer Service,F,107918.28,0.00,0.00,25
60,ABS,Alcohol Beverage Services,Wholesale Operations,F,90289.92,117.24,91.12,21
61,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,59800.00,5026.16,0.00,15
62,ABS,Alcohol Beverage Services,Walnut Hill,M,47728.00,69.20,1530.63,12
63,ABS,Alcohol Beverage Services,Retail Administration,F,106226.71,0.00,0.00,25
64,ABS,Alcohol Beverage Services,Kensington,M,43825.99,169.13,0.00,12
65,ABS,Alcohol Beverage Services,Leisure World,F,60260.74,925.65,0.00,14
66,ABS,Alcohol Beverage Services,IT Administration,F,115099.00,0.00,3587.76,26
67,ABS,Alcohol Beverage Services,Downtown Rockville,M,87253.30,0.00,0.00,21
68,ABS,Alcohol Beverage Services,Retail Administration,M,93387.52,0.00,0.00,25
69,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,84421.55,18587.41,0.00,20
70,ABS,Alcohol Beverage Services,Retail Administration,F,67496.30,486.78,0.00,18
71,ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575.00,4459.85,1980.05,15
72,ABS,Alcohol Beverage Services,Seneca Meadows,F,88820.04,49.97,0.00,21
73,ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660.00,7389.84,1859.77,12
74,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848.00,278.02,5745.60,21
75,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575.00,2944.87,4337.18,15
76,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,624.05,0.00,13
77,ABS,Alcohol Beverage Services,Administrative Services,F,63728.58,0.00,0.00,18
78,ABS,Alcohol Beverage Services,Kensington,M,63411.85,117.99,0.00,18
79,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,75290.00,9804.92,0.00,17
80,ABS,Alcohol Beverage Services,Goshen Crossing,M,65112.51,0.00,0.00,21
81,ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488.00,1150.48,3952.84,13
82,ABS,Alcohol Beverage Services,Darnestown,F,65632.33,948.70,0.00,18
83,ABS,Alcohol Beverage Services,White Oak,M,69752.84,134.33,0.00,21
84,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902.00,26721.93,1639.45,18
85,ABS,Alcohol Beverage Services,Administrative Services,M,86669.00,1062.57,0.00,20
86,ABS,Alcohol Beverage Services,White Oak,M,45360.97,75.76,0.00,12
87,ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848.00,6748.20,0.00,21
88,ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575.00,7125.25,0.00,15
89,ABS,Alcohol Beverage Services,Retail Administration,F,138556.12,0.00,0.00,M3
90,ABS,Alcohol Beverage Services,IT Administration,M,82691.00,10319.06,2576.88,19
91,ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,55111.29,8494.48,0.00,13
92,ABS,Alcohol Beverage Services,Montrose,M,77956.26,3.94,0.00,18
93,ABS,Alcohol Beverage Services,Westwood,M,58222.83,1202.44,0.00,14
94,ABS,Alcohol Beverage Services,Darnestown,M,39375.60,47.93,573.07,12
95,ABS,Alcohol Beverage Services,Clarksburg Village,M,72302.29,0.00,0.00,18
